cliente,servico,review,sentimento_modelo,sentimento
Cliente_058,Fibra Óptica,Péssimo! Nunca mais contrato.,1 star,Negativo
Cliente_148,TV,Não resolve meu problema nunca.,1 star,Negativo
Cliente_200,TV,"Cobrança correta, sem surpresas.",3 stars,Neutro
Cliente_061,Streaming,"Quero cancelar, só dor de cabeça.",1 star,Negativo
Cliente_127,TV,"Muito lento, sempre com problemas.",2 stars,Negativo
Cliente_105,Nuvem,Péssimo suporte ao cliente.,1 star,Negativo
Cliente_167,Nuvem,"Experiência comum, igual a outras empresas.",5 stars,Positivo
Cliente_001,Streaming,Atendimento cordial e sem enrolação.,1 star,Negativo
Cliente_131,Telefone,"Quero cancelar, só dor de cabeça.",1 star,Negativo
Cliente_092,Internet,Estou muito insatisfeito com o serviço.,1 star,Negativo
Cliente_190,Telefone,"Fui muito bem atendido, recomendo!",5 stars,Positivo
Cliente_191,Telefone,"Muito lento, sempre com problemas.",2 stars,Negativo
Cliente_113,Telefone,Atendimento rápido e eficiente.,5 stars,Positivo
Cliente_153,Telefone,"Resolveu meu problema na hora, parabéns!",5 stars,Positivo
Cliente_056,Fibra Óptica,Péssimo! Nunca mais contrato.,1 star,Negativo
Cliente_161,Internet,Atendimento demorado e ineficiente.,1 star,Negativo
Cliente_166,Fibra Óptica,"Experiência comum, igual a outras empresas.",5 stars,Positivo
Cliente_117,TV,Ainda estou avaliando o serviço.,4 stars,Positivo
Cliente_134,Telefone,"Serviço razoável, mas melhorou ultimamente.",3 stars,Neutro
Cliente_058,Nuvem,Funcionou perfeitamente durante a viagem.,5 stars,Positivo
Cliente_044,Streaming,Péssimo suporte ao cliente.,1 star,Negativo
Cliente_173,Streaming,Ainda estou avaliando o serviço.,4 stars,Positivo
Cliente_160,Fibra Óptica,Atendimento demorado e ineficiente.,1 star,Negativo
Cliente_173,Fibra Óptica,Muito bom! Surpreendeu minhas expectativas.,5 stars,Positivo
Cliente_061,Nuvem,"Ótimo serviço, estou muito satisfeito.",5 stars,Positivo
Cliente_047,Telefone,Estou muito insatisfeito com o serviço.,1 star,Negativo
Cliente_149,Internet,"Muito lento, sempre com problemas.",2 stars,Negativo
Cliente_080,TV,Ainda estou avaliando o serviço.,4 stars,Positivo
Cliente_118,Streaming,"Fui muito bem atendido, recomendo!",5 stars,Positivo
Cliente_164,TV,Estou gostando bastante do serviço.,4 stars,Positivo
Cliente_147,Internet,Atendimento demorado e ineficiente.,1 star,Negativo
Cliente_020,Fibra Óptica,Péssimo! Nunca mais contrato.,1 star,Negativo
Cliente_185,Streaming,Nunca consigo falar com o suporte.,1 star,Negativo
Cliente_146,TV,"Serviço comum, nem bom nem ruim.",3 stars,Neutro
Cliente_047,Fibra Óptica,"Resolveu meu problema na hora, parabéns!",5 stars,Positivo
Cliente_049,Internet,"O sinal cai toda hora, não gosto.",1 star,Negativo
Cliente_014,TV,Funcionou perfeitamente durante a viagem.,5 stars,Positivo
Cliente_143,Telefone,"Quero cancelar, só dor de cabeça.",1 star,Negativo
Cliente_159,Fibra Óptica,Atendimento rápido e eficiente.,5 stars,Positivo
Cliente_001,Internet,"Muito lento, sempre com problemas.",2 stars,Negativo
Cliente_117,TV,Péssimo! Nunca mais contrato.,1 star,Negativo
Cliente_054,Telefone,"Muito lento, sempre com problemas.",2 stars,Negativo
Cliente_118,Telefone,"Cobrança correta, sem surpresas.",3 stars,Neutro
Cliente_003,Internet,Equipe super preparada e educada.,5 stars,Positivo
Cliente_144,Nuvem,"É um serviço ok, cumpre o que promete.",4 stars,Positivo
Cliente_185,Streaming,"Fui muito bem atendido, recomendo!",5 stars,Positivo
Cliente_012,Internet,Nota 10! Melhor experiência que já tive.,5 stars,Positivo
Cliente_074,Telefone,O atendimento poderia ser melhor.,3 stars,Neutro
Cliente_016,Telefone,Péssimo suporte ao cliente.,1 star,Negativo
Cliente_200,Internet,Não resolve meu problema nunca.,1 star,Negativo
Cliente_102,Nuvem,Péssimo suporte ao cliente.,1 star,Negativo
Cliente_152,Streaming,"É um serviço ok, cumpre o que promete.",4 stars,Positivo
Cliente_156,TV,Funcionou perfeitamente durante a viagem.,5 stars,Positivo
Cliente_117,Internet,"Nada a reclamar, tudo dentro do esperado.",1 star,Negativo
Cliente_008,Streaming,"Resolveu meu problema na hora, parabéns!",5 stars,Positivo
Cliente_122,Streaming,Nunca consigo falar com o suporte.,1 star,Negativo
Cliente_092,Fibra Óptica,Funciona na maior parte do tempo.,4 stars,Positivo
Cliente_164,Telefone,"Muito lento, sempre com problemas.",2 stars,Negativo
Cliente_090,TV,"Nada a reclamar, tudo dentro do esperado.",1 star,Negativo
Cliente_136,Internet,Funciona na maior parte do tempo.,4 stars,Positivo
Cliente_186,Telefone,"Resolveu meu problema na hora, parabéns!",5 stars,Positivo
Cliente_060,Fibra Óptica,"O sinal cai toda hora, não gosto.",1 star,Negativo
Cliente_178,Fibra Óptica,Atendimento demorado e ineficiente.,1 star,Negativo
Cliente_028,Telefone,"Cobrança correta, sem surpresas.",3 stars,Neutro
Cliente_101,Nuvem,"Quero cancelar, só dor de cabeça.",1 star,Negativo
Cliente_041,Streaming,"Fui muito bem atendido, recomendo!",5 stars,Positivo
Cliente_192,Internet,"Fui muito bem atendido, recomendo!",5 stars,Positivo
Cliente_155,Internet,"Cobrança correta, sem surpresas.",3 stars,Neutro
Cliente_191,Internet,Atendimento rápido e eficiente.,5 stars,Positivo
Cliente_145,Telefone,Péssimo suporte ao cliente.,1 star,Negativo
Cliente_161,Nuvem,Funcionou perfeitamente durante a viagem.,5 stars,Positivo
Cliente_157,TV,Muito bom! Surpreendeu minhas expectativas.,5 stars,Positivo
Cliente_141,Fibra Óptica,"Fui muito bem atendido, recomendo!",5 stars,Positivo
Cliente_046,Telefone,Ainda estou avaliando o serviço.,4 stars,Positivo
Cliente_035,TV,Péssimo suporte ao cliente.,1 star,Negativo
Cliente_134,Fibra Óptica,Estou gostando bastante do serviço.,4 stars,Positivo
Cliente_082,Fibra Óptica,O app poderia ser mais rápido.,3 stars,Neutro
Cliente_115,Nuvem,Nunca consigo falar com o suporte.,1 star,Negativo
Cliente_197,Streaming,Estou muito insatisfeito com o serviço.,1 star,Negativo
Cliente_047,Internet,Atendimento cordial e sem enrolação.,1 star,Negativo
Cliente_153,TV,Nota 10! Melhor experiência que já tive.,5 stars,Positivo
Cliente_194,Telefone,Nota 10! Melhor experiência que já tive.,5 stars,Positivo
Cliente_010,TV,Funciona na maior parte do tempo.,4 stars,Positivo
Cliente_056,Streaming,Poderiam oferecer mais opções.,3 stars,Neutro
Cliente_030,Internet,Estou gostando bastante do serviço.,4 stars,Positivo
Cliente_109,TV,Estou muito insatisfeito com o serviço.,1 star,Negativo
Cliente_005,Streaming,Estou muito insatisfeito com o serviço.,1 star,Negativo
Cliente_119,Telefone,O app poderia ser mais rápido.,3 stars,Neutro
Cliente_033,Nuvem,Péssimo! Nunca mais contrato.,1 star,Negativo
Cliente_118,Fibra Óptica,"Ótimo serviço, estou muito satisfeito.",5 stars,Positivo
Cliente_065,Telefone,"Serviço razoável, mas melhorou ultimamente.",3 stars,Neutro
Cliente_146,Internet,"O sinal cai toda hora, não gosto.",1 star,Negativo
Cliente_177,Fibra Óptica,Poderiam oferecer mais opções.,3 stars,Neutro
Cliente_011,Telefone,"Ótimo serviço, estou muito satisfeito.",5 stars,Positivo
Cliente_085,Telefone,Muito bom! Surpreendeu minhas expectativas.,5 stars,Positivo
Cliente_026,Telefone,Nota 10! Melhor experiência que já tive.,5 stars,Positivo
Cliente_063,Telefone,Atendimento cordial e sem enrolação.,1 star,Negativo
Cliente_086,Fibra Óptica,"Serviço razoável, mas melhorou ultimamente.",3 stars,Neutro
Cliente_059,Internet,"Fui muito bem atendido, recomendo!",5 stars,Positivo
Cliente_027,Streaming,Estou muito insatisfeito com o serviço.,1 star,Negativo
Cliente_177,TV,Nota 10! Melhor experiência que já tive.,5 stars,Positivo
Cliente_161,Nuvem,Ainda estou avaliando o serviço.,4 stars,Positivo
Cliente_098,TV,"Muito lento, sempre com problemas.",2 stars,Negativo
Cliente_105,TV,Atendimento rápido e eficiente.,5 stars,Positivo
Cliente_099,Nuvem,Não resolve meu problema nunca.,1 star,Negativo
Cliente_129,Fibra Óptica,O atendimento poderia ser melhor.,3 stars,Neutro
Cliente_149,Internet,"Ótimo serviço, estou muito satisfeito.",5 stars,Positivo
Cliente_055,Nuvem,Estou muito insatisfeito com o serviço.,1 star,Negativo
Cliente_006,Internet,Atendimento cordial e sem enrolação.,1 star,Negativo
Cliente_197,Fibra Óptica,"Nada a reclamar, tudo dentro do esperado.",1 star,Negativo
Cliente_095,TV,Atendimento cordial e sem enrolação.,1 star,Negativo
Cliente_133,Internet,"O sinal cai toda hora, não gosto.",1 star,Negativo
Cliente_102,Fibra Óptica,Ainda estou avaliando o serviço.,4 stars,Positivo
Cliente_003,Fibra Óptica,"O sinal cai toda hora, não gosto.",1 star,Negativo
Cliente_181,Streaming,"Serviço razoável, mas melhorou ultimamente.",3 stars,Neutro
Cliente_023,Nuvem,Não resolve meu problema nunca.,1 star,Negativo
Cliente_053,Streaming,"Ótimo serviço, estou muito satisfeito.",5 stars,Positivo
Cliente_165,TV,O app poderia ser mais rápido.,3 stars,Neutro
Cliente_083,Nuvem,Estou gostando bastante do serviço.,4 stars,Positivo
Cliente_145,TV,Estou muito insatisfeito com o serviço.,1 star,Negativo
Cliente_085,Streaming,O atendimento poderia ser melhor.,3 stars,Neutro
Cliente_078,Fibra Óptica,O atendimento poderia ser melhor.,3 stars,Neutro
Cliente_110,TV,Equipe super preparada e educada.,5 stars,Positivo
Cliente_001,Nuvem,"Serviço comum, nem bom nem ruim.",3 stars,Neutro
Cliente_051,Nuvem,"É um serviço ok, cumpre o que promete.",4 stars,Positivo
Cliente_173,TV,Estou muito insatisfeito com o serviço.,1 star,Negativo
Cliente_004,Nuvem,O atendimento poderia ser melhor.,3 stars,Neutro
Cliente_190,Fibra Óptica,O atendimento poderia ser melhor.,3 stars,Neutro
Cliente_193,Fibra Óptica,Atendimento cordial e sem enrolação.,1 star,Negativo
Cliente_113,Nuvem,O app poderia ser mais rápido.,3 stars,Neutro
Cliente_032,TV,Estou muito insatisfeito com o serviço.,1 star,Negativo
Cliente_034,Streaming,"O sinal cai toda hora, não gosto.",1 star,Negativo
Cliente_092,Nuvem,Muito bom! Surpreendeu minhas expectativas.,5 stars,Positivo
Cliente_095,Nuvem,Funciona na maior parte do tempo.,4 stars,Positivo
Cliente_072,Nuvem,"É um serviço ok, cumpre o que promete.",4 stars,Positivo
Cliente_039,Nuvem,"O sinal cai toda hora, não gosto.",1 star,Negativo
Cliente_154,TV,Poderiam oferecer mais opções.,3 stars,Neutro
Cliente_162,Streaming,Péssimo suporte ao cliente.,1 star,Negativo
Cliente_182,Streaming,Atendimento cordial e sem enrolação.,1 star,Negativo
Cliente_118,Internet,Poderiam oferecer mais opções.,3 stars,Neutro
Cliente_003,Nuvem,Atendimento rápido e eficiente.,5 stars,Positivo
Cliente_123,Nuvem,"Ótimo serviço, estou muito satisfeito.",5 stars,Positivo
Cliente_050,Internet,"Ótimo serviço, estou muito satisfeito.",5 stars,Positivo
Cliente_012,Streaming,"O sinal cai toda hora, não gosto.",1 star,Negativo
Cliente_193,Telefone,O app poderia ser mais rápido.,3 stars,Neutro
Cliente_054,Fibra Óptica,Péssimo! Nunca mais contrato.,1 star,Negativo
Cliente_133,Telefone,Não resolve meu problema nunca.,1 star,Negativo
Cliente_057,Streaming,Estou gostando bastante do serviço.,4 stars,Positivo
Cliente_145,Nuvem,Muito bom! Surpreendeu minhas expectativas.,5 stars,Positivo
Cliente_112,Telefone,"Cobrança correta, sem surpresas.",3 stars,Neutro
Cliente_047,TV,Atendimento cordial e sem enrolação.,1 star,Negativo
Cliente_151,TV,"Resolveu meu problema na hora, parabéns!",5 stars,Positivo
Cliente_085,Internet,"Muito lento, sempre com problemas.",2 stars,Negativo
Cliente_142,Streaming,"Nada a reclamar, tudo dentro do esperado.",1 star,Negativo
Cliente_066,Streaming,"O sinal cai toda hora, não gosto.",1 star,Negativo
Cliente_075,Telefone,"Muito lento, sempre com problemas.",2 stars,Negativo
Cliente_179,Nuvem,Atendimento cordial e sem enrolação.,1 star,Negativo
Cliente_103,Streaming,"Quero cancelar, só dor de cabeça.",1 star,Negativo
Cliente_166,Telefone,Funciona na maior parte do tempo.,4 stars,Positivo
Cliente_192,Telefone,O atendimento poderia ser melhor.,3 stars,Neutro
Cliente_038,Fibra Óptica,"Resolveu meu problema na hora, parabéns!",5 stars,Positivo
Cliente_050,Fibra Óptica,Atendimento demorado e ineficiente.,1 star,Negativo
Cliente_098,Streaming,"Fui muito bem atendido, recomendo!",5 stars,Positivo
Cliente_082,Telefone,"O sinal cai toda hora, não gosto.",1 star,Negativo
Cliente_030,Internet,"Nada a reclamar, tudo dentro do esperado.",1 star,Negativo
Cliente_079,Internet,"Muito lento, sempre com problemas.",2 stars,Negativo
Cliente_091,Fibra Óptica,Funcionou perfeitamente durante a viagem.,5 stars,Positivo
Cliente_179,Streaming,O atendimento poderia ser melhor.,3 stars,Neutro
Cliente_191,Nuvem,Estou muito insatisfeito com o serviço.,1 star,Negativo
Cliente_052,Internet,Equipe super preparada e educada.,5 stars,Positivo
Cliente_166,Internet,Estou muito insatisfeito com o serviço.,1 star,Negativo
Cliente_079,Fibra Óptica,Péssimo suporte ao cliente.,1 star,Negativo
Cliente_030,Fibra Óptica,O atendimento poderia ser melhor.,3 stars,Neutro
Cliente_106,Streaming,Equipe super preparada e educada.,5 stars,Positivo
Cliente_051,Fibra Óptica,"Muito lento, sempre com problemas.",2 stars,Negativo
Cliente_081,TV,Atendimento demorado e ineficiente.,1 star,Negativo
Cliente_133,Telefone,"É um serviço ok, cumpre o que promete.",4 stars,Positivo
Cliente_029,Internet,Péssimo suporte ao cliente.,1 star,Negativo
Cliente_132,TV,Atendimento demorado e ineficiente.,1 star,Negativo
Cliente_138,Nuvem,"Resolveu meu problema na hora, parabéns!",5 stars,Positivo
Cliente_184,TV,"Quero cancelar, só dor de cabeça.",1 star,Negativo
Cliente_145,Streaming,"Ótimo serviço, estou muito satisfeito.",5 stars,Positivo
Cliente_074,Nuvem,Não resolve meu problema nunca.,1 star,Negativo
Cliente_017,Nuvem,Estou muito insatisfeito com o serviço.,1 star,Negativo
Cliente_084,Fibra Óptica,Péssimo suporte ao cliente.,1 star,Negativo
Cliente_069,TV,"Cobrança correta, sem surpresas.",3 stars,Neutro
Cliente_034,Streaming,Nota 10! Melhor experiência que já tive.,5 stars,Positivo
Cliente_006,Internet,Estou muito insatisfeito com o serviço.,1 star,Negativo
Cliente_053,Fibra Óptica,Nota 10! Melhor experiência que já tive.,5 stars,Positivo
Cliente_194,TV,"Cobrança correta, sem surpresas.",3 stars,Neutro
Cliente_126,Internet,Não resolve meu problema nunca.,1 star,Negativo
Cliente_043,TV,"Fui muito bem atendido, recomendo!",5 stars,Positivo
Cliente_115,Fibra Óptica,"Nada a reclamar, tudo dentro do esperado.",1 star,Negativo
Cliente_111,Internet,Poderiam oferecer mais opções.,3 stars,Neutro
Cliente_151,Fibra Óptica,"Quero cancelar, só dor de cabeça.",1 star,Negativo
Cliente_183,TV,"Serviço comum, nem bom nem ruim.",3 stars,Neutro
Cliente_080,Nuvem,Poderiam oferecer mais opções.,3 stars,Neutro
Cliente_095,Telefone,"É um serviço ok, cumpre o que promete.",4 stars,Positivo
Cliente_118,Nuvem,"É um serviço ok, cumpre o que promete.",4 stars,Positivo
Cliente_144,Fibra Óptica,O app poderia ser mais rápido.,3 stars,Neutro
Cliente_008,Fibra Óptica,"Ótimo serviço, estou muito satisfeito.",5 stars,Positivo
Cliente_132,Fibra Óptica,O app poderia ser mais rápido.,3 stars,Neutro
Cliente_104,Internet,Poderiam oferecer mais opções.,3 stars,Neutro
Cliente_132,Streaming,Estou gostando bastante do serviço.,4 stars,Positivo
Cliente_184,Fibra Óptica,"Nada a reclamar, tudo dentro do esperado.",1 star,Negativo
Cliente_025,Nuvem,"O sinal cai toda hora, não gosto.",1 star,Negativo
Cliente_195,Telefone,"Resolveu meu problema na hora, parabéns!",5 stars,Positivo
Cliente_096,Fibra Óptica,Poderiam oferecer mais opções.,3 stars,Neutro
Cliente_195,Fibra Óptica,"É um serviço ok, cumpre o que promete.",4 stars,Positivo
Cliente_155,Fibra Óptica,Equipe super preparada e educada.,5 stars,Positivo
Cliente_093,Internet,"O sinal cai toda hora, não gosto.",1 star,Negativo
Cliente_160,Fibra Óptica,Nota 10! Melhor experiência que já tive.,5 stars,Positivo
Cliente_178,Nuvem,Equipe super preparada e educada.,5 stars,Positivo
Cliente_061,TV,Funciona na maior parte do tempo.,4 stars,Positivo
Cliente_122,Streaming,Atendimento rápido e eficiente.,5 stars,Positivo
Cliente_051,Fibra Óptica,Funcionou perfeitamente durante a viagem.,5 stars,Positivo
Cliente_147,Internet,Nota 10! Melhor experiência que já tive.,5 stars,Positivo
Cliente_021,Nuvem,Nunca consigo falar com o suporte.,1 star,Negativo
Cliente_005,Fibra Óptica,"Ótimo serviço, estou muito satisfeito.",5 stars,Positivo
Cliente_092,Internet,"Ótimo serviço, estou muito satisfeito.",5 stars,Positivo
Cliente_170,TV,Nunca consigo falar com o suporte.,1 star,Negativo
Cliente_061,Telefone,Estou muito insatisfeito com o serviço.,1 star,Negativo
Cliente_022,Fibra Óptica,Atendimento cordial e sem enrolação.,1 star,Negativo
Cliente_149,Nuvem,"Serviço razoável, mas melhorou ultimamente.",3 stars,Neutro
Cliente_070,Internet,"Ótimo serviço, estou muito satisfeito.",5 stars,Positivo
Cliente_001,Internet,Equipe super preparada e educada.,5 stars,Positivo
Cliente_133,Fibra Óptica,Equipe super preparada e educada.,5 stars,Positivo
Cliente_012,Internet,"O sinal cai toda hora, não gosto.",1 star,Negativo
Cliente_090,Telefone,Ainda estou avaliando o serviço.,4 stars,Positivo
Cliente_046,Internet,Equipe super preparada e educada.,5 stars,Positivo
Cliente_034,Streaming,"Fui muito bem atendido, recomendo!",5 stars,Positivo
Cliente_177,Streaming,"Experiência comum, igual a outras empresas.",5 stars,Positivo
Cliente_078,Internet,O atendimento poderia ser melhor.,3 stars,Neutro
Cliente_045,Fibra Óptica,"Quero cancelar, só dor de cabeça.",1 star,Negativo
Cliente_155,Streaming,"Cobrança correta, sem surpresas.",3 stars,Neutro
Cliente_073,Nuvem,"Ótimo serviço, estou muito satisfeito.",5 stars,Positivo
Cliente_026,Streaming,"Resolveu meu problema na hora, parabéns!",5 stars,Positivo
Cliente_047,Internet,Nota 10! Melhor experiência que já tive.,5 stars,Positivo
Cliente_121,Fibra Óptica,Atendimento rápido e eficiente.,5 stars,Positivo
Cliente_056,TV,"Serviço comum, nem bom nem ruim.",3 stars,Neutro
Cliente_094,Fibra Óptica,"Fui muito bem atendido, recomendo!",5 stars,Positivo
Cliente_107,Fibra Óptica,"É um serviço ok, cumpre o que promete.",4 stars,Positivo
Cliente_063,Fibra Óptica,Equipe super preparada e educada.,5 stars,Positivo
Cliente_048,Nuvem,Funciona na maior parte do tempo.,4 stars,Positivo
Cliente_061,Telefone,Atendimento rápido e eficiente.,5 stars,Positivo
Cliente_081,Internet,"Serviço comum, nem bom nem ruim.",3 stars,Neutro
Cliente_026,Telefone,Péssimo suporte ao cliente.,1 star,Negativo
Cliente_036,TV,"Muito lento, sempre com problemas.",2 stars,Negativo
Cliente_001,Telefone,"Ótimo serviço, estou muito satisfeito.",5 stars,Positivo
Cliente_008,Internet,Estou muito insatisfeito com o serviço.,1 star,Negativo
Cliente_113,Internet,Nota 10! Melhor experiência que já tive.,5 stars,Positivo
Cliente_099,TV,"Quero cancelar, só dor de cabeça.",1 star,Negativo
Cliente_180,Internet,Péssimo! Nunca mais contrato.,1 star,Negativo
Cliente_047,TV,"Cobrança correta, sem surpresas.",3 stars,Neutro
Cliente_127,TV,Não resolve meu problema nunca.,1 star,Negativo
Cliente_056,Internet,Péssimo! Nunca mais contrato.,1 star,Negativo
Cliente_014,Streaming,Péssimo! Nunca mais contrato.,1 star,Negativo
Cliente_028,TV,"Ótimo serviço, estou muito satisfeito.",5 stars,Positivo
Cliente_078,Internet,Atendimento cordial e sem enrolação.,1 star,Negativo
Cliente_130,Streaming,"Resolveu meu problema na hora, parabéns!",5 stars,Positivo
Cliente_109,TV,Péssimo suporte ao cliente.,1 star,Negativo
Cliente_154,Streaming,Não resolve meu problema nunca.,1 star,Negativo
Cliente_014,Nuvem,"Quero cancelar, só dor de cabeça.",1 star,Negativo
Cliente_187,Fibra Óptica,"Ótimo serviço, estou muito satisfeito.",5 stars,Positivo
Cliente_056,Nuvem,Ainda estou avaliando o serviço.,4 stars,Positivo
Cliente_115,Streaming,"Fui muito bem atendido, recomendo!",5 stars,Positivo
Cliente_007,TV,Funcionou perfeitamente durante a viagem.,5 stars,Positivo
Cliente_003,Internet,Péssimo suporte ao cliente.,1 star,Negativo
Cliente_111,Telefone,Funcionou perfeitamente durante a viagem.,5 stars,Positivo
Cliente_151,Internet,Nunca consigo falar com o suporte.,1 star,Negativo
Cliente_107,Telefone,Atendimento rápido e eficiente.,5 stars,Positivo
Cliente_018,Telefone,Equipe super preparada e educada.,5 stars,Positivo
Cliente_038,TV,"O sinal cai toda hora, não gosto.",1 star,Negativo
Cliente_115,Streaming,"Muito lento, sempre com problemas.",2 stars,Negativo
Cliente_015,Internet,Atendimento cordial e sem enrolação.,1 star,Negativo
Cliente_192,Streaming,"Muito lento, sempre com problemas.",2 stars,Negativo
Cliente_119,Nuvem,Equipe super preparada e educada.,5 stars,Positivo
Cliente_028,TV,Equipe super preparada e educada.,5 stars,Positivo
Cliente_039,TV,Péssimo! Nunca mais contrato.,1 star,Negativo
Cliente_185,Nuvem,Atendimento demorado e ineficiente.,1 star,Negativo
Cliente_017,Internet,O app poderia ser mais rápido.,3 stars,Neutro
Cliente_086,Fibra Óptica,"Quero cancelar, só dor de cabeça.",1 star,Negativo
Cliente_126,Nuvem,Nota 10! Melhor experiência que já tive.,5 stars,Positivo
Cliente_044,Internet,"O sinal cai toda hora, não gosto.",1 star,Negativo
Cliente_025,Telefone,Equipe super preparada e educada.,5 stars,Positivo
Cliente_145,TV,Funcionou perfeitamente durante a viagem.,5 stars,Positivo
Cliente_013,Internet,"Experiência comum, igual a outras empresas.",5 stars,Positivo
Cliente_025,Streaming,Péssimo suporte ao cliente.,1 star,Negativo
Cliente_068,Streaming,Funcionou perfeitamente durante a viagem.,5 stars,Positivo
Cliente_138,TV,Funcionou perfeitamente durante a viagem.,5 stars,Positivo
Cliente_067,Nuvem,Péssimo! Nunca mais contrato.,1 star,Negativo
Cliente_109,Fibra Óptica,"Cobrança correta, sem surpresas.",3 stars,Neutro
Cliente_146,Nuvem,Poderiam oferecer mais opções.,3 stars,Neutro
Cliente_111,Internet,"Serviço razoável, mas melhorou ultimamente.",3 stars,Neutro
Cliente_111,Nuvem,Poderiam oferecer mais opções.,3 stars,Neutro
Cliente_034,TV,Não resolve meu problema nunca.,1 star,Negativo
Cliente_111,Internet,"Cobrança correta, sem surpresas.",3 stars,Neutro
Cliente_008,Telefone,"Experiência comum, igual a outras empresas.",5 stars,Positivo
Cliente_168,Nuvem,"Ótimo serviço, estou muito satisfeito.",5 stars,Positivo
Cliente_113,Nuvem,"Ótimo serviço, estou muito satisfeito.",5 stars,Positivo
Cliente_083,Fibra Óptica,Poderiam oferecer mais opções.,3 stars,Neutro
Cliente_042,Internet,Péssimo suporte ao cliente.,1 star,Negativo
Cliente_169,Streaming,Muito bom! Surpreendeu minhas expectativas.,5 stars,Positivo
Cliente_101,Nuvem,"Nada a reclamar, tudo dentro do esperado.",1 star,Negativo
Cliente_006,TV,"Nada a reclamar, tudo dentro do esperado.",1 star,Negativo
Cliente_180,Nuvem,Nota 10! Melhor experiência que já tive.,5 stars,Positivo
Cliente_026,Fibra Óptica,"É um serviço ok, cumpre o que promete.",4 stars,Positivo
Cliente_064,Telefone,Nunca consigo falar com o suporte.,1 star,Negativo
Cliente_187,Fibra Óptica,O atendimento poderia ser melhor.,3 stars,Neutro
Cliente_184,Nuvem,Não resolve meu problema nunca.,1 star,Negativo
Cliente_059,Streaming,"Cobrança correta, sem surpresas.",3 stars,Neutro
Cliente_109,Nuvem,"Ótimo serviço, estou muito satisfeito.",5 stars,Positivo
Cliente_198,Internet,"É um serviço ok, cumpre o que promete.",4 stars,Positivo
Cliente_121,Nuvem,Equipe super preparada e educada.,5 stars,Positivo
Cliente_033,Streaming,"Serviço razoável, mas melhorou ultimamente.",3 stars,Neutro
Cliente_181,Internet,Péssimo! Nunca mais contrato.,1 star,Negativo
Cliente_150,TV,"Serviço comum, nem bom nem ruim.",3 stars,Neutro
Cliente_021,Internet,Péssimo suporte ao cliente.,1 star,Negativo
Cliente_198,Fibra Óptica,Funcionou perfeitamente durante a viagem.,5 stars,Positivo
Cliente_070,Telefone,"Quero cancelar, só dor de cabeça.",1 star,Negativo
Cliente_112,Fibra Óptica,Estou muito insatisfeito com o serviço.,1 star,Negativo
Cliente_004,Internet,O atendimento poderia ser melhor.,3 stars,Neutro
Cliente_094,TV,"Cobrança correta, sem surpresas.",3 stars,Neutro
Cliente_075,Nuvem,"Serviço razoável, mas melhorou ultimamente.",3 stars,Neutro
Cliente_190,Internet,Funcionou perfeitamente durante a viagem.,5 stars,Positivo
Cliente_062,Fibra Óptica,"É um serviço ok, cumpre o que promete.",4 stars,Positivo
Cliente_094,Internet,Nota 10! Melhor experiência que já tive.,5 stars,Positivo
Cliente_095,Internet,"É um serviço ok, cumpre o que promete.",4 stars,Positivo
Cliente_152,Internet,"Fui muito bem atendido, recomendo!",5 stars,Positivo
Cliente_055,TV,Péssimo! Nunca mais contrato.,1 star,Negativo
Cliente_137,Streaming,Estou gostando bastante do serviço.,4 stars,Positivo
Cliente_131,Streaming,Estou muito insatisfeito com o serviço.,1 star,Negativo
Cliente_031,Internet,Atendimento cordial e sem enrolação.,1 star,Negativo
Cliente_040,TV,Equipe super preparada e educada.,5 stars,Positivo
Cliente_036,TV,"É um serviço ok, cumpre o que promete.",4 stars,Positivo
Cliente_152,Internet,"Fui muito bem atendido, recomendo!",5 stars,Positivo
Cliente_006,Fibra Óptica,"Cobrança correta, sem surpresas.",3 stars,Neutro
Cliente_066,Fibra Óptica,Atendimento demorado e ineficiente.,1 star,Negativo
Cliente_075,Telefone,Funcionou perfeitamente durante a viagem.,5 stars,Positivo
Cliente_004,Internet,"Fui muito bem atendido, recomendo!",5 stars,Positivo
Cliente_079,Telefone,Ainda estou avaliando o serviço.,4 stars,Positivo
Cliente_134,Fibra Óptica,"O sinal cai toda hora, não gosto.",1 star,Negativo
Cliente_118,Fibra Óptica,"É um serviço ok, cumpre o que promete.",4 stars,Positivo
Cliente_113,Internet,Atendimento demorado e ineficiente.,1 star,Negativo
Cliente_094,Telefone,"Resolveu meu problema na hora, parabéns!",5 stars,Positivo
Cliente_179,Telefone,"Cobrança correta, sem surpresas.",3 stars,Neutro
Cliente_062,Internet,Funcionou perfeitamente durante a viagem.,5 stars,Positivo
Cliente_185,Telefone,Equipe super preparada e educada.,5 stars,Positivo
Cliente_194,Nuvem,Ainda estou avaliando o serviço.,4 stars,Positivo
Cliente_079,Fibra Óptica,O app poderia ser mais rápido.,3 stars,Neutro
Cliente_136,Streaming,Equipe super preparada e educada.,5 stars,Positivo
Cliente_026,TV,Ainda estou avaliando o serviço.,4 stars,Positivo
Cliente_179,Telefone,"Cobrança correta, sem surpresas.",3 stars,Neutro
Cliente_173,Telefone,Não resolve meu problema nunca.,1 star,Negativo
Cliente_044,TV,Estou muito insatisfeito com o serviço.,1 star,Negativo
