cliente,servico,review
Cliente_168,Internet,"Cobrança correta, sem surpresas."
Cliente_146,Streaming,"Experiência comum, igual a outras empresas."
Cliente_183,Internet,Funciona na maior parte do tempo.
Cliente_153,Telefone,"Ótimo serviço, estou muito satisfeito."
Cliente_059,Streaming,Funcionou perfeitamente durante a viagem.
Cliente_078,Internet,Péssimo! Nunca mais contrato.
Cliente_124,TV,Atendimento demorado e ineficiente.
Cliente_114,Fibra Óptica,"O sinal cai toda hora, não gosto."
Cliente_022,Telefone,"Quero cancelar, só dor de cabeça."
Cliente_158,TV,Péssimo suporte ao cliente.
Cliente_172,TV,"É um serviço ok, cumpre o que promete."
Cliente_032,Streaming,Muito bom! Surpreendeu minhas expectativas.
Cliente_179,Nuvem,"Fui muito bem atendido, recomendo!"
Cliente_174,Streaming,"Fui muito bem atendido, recomendo!"
Cliente_113,Telefone,Atendimento rápido e eficiente.
Cliente_120,Telefone,O app poderia ser mais rápido.
Cliente_149,Streaming,Ainda estou avaliando o serviço.
Cliente_122,Nuvem,"Muito lento, sempre com problemas."
Cliente_032,Streaming,Atendimento rápido e eficiente.
Cliente_119,Telefone,Péssimo suporte ao cliente.
Cliente_039,Nuvem,"Ótimo serviço, estou muito satisfeito."
Cliente_012,Telefone,"Quero cancelar, só dor de cabeça."
Cliente_175,Nuvem,Atendimento demorado e ineficiente.
Cliente_018,Nuvem,Atendimento rápido e eficiente.
Cliente_149,Streaming,O atendimento poderia ser melhor.
Cliente_141,Streaming,"Resolveu meu problema na hora, parabéns!"
Cliente_149,Streaming,"Ótimo serviço, estou muito satisfeito."
Cliente_126,Nuvem,Atendimento cordial e sem enrolação.
Cliente_136,Nuvem,"Serviço razoável, mas melhorou ultimamente."
Cliente_046,Telefone,Equipe super preparada e educada.
Cliente_104,TV,"Serviço comum, nem bom nem ruim."
Cliente_135,Streaming,Péssimo! Nunca mais contrato.
Cliente_151,Fibra Óptica,Atendimento cordial e sem enrolação.
Cliente_086,Telefone,Estou gostando bastante do serviço.
Cliente_150,Telefone,Funcionou perfeitamente durante a viagem.
Cliente_089,Internet,Péssimo! Nunca mais contrato.
Cliente_022,Streaming,"Quero cancelar, só dor de cabeça."
Cliente_092,Telefone,Estou gostando bastante do serviço.
Cliente_029,Internet,Funcionou perfeitamente durante a viagem.
Cliente_013,Fibra Óptica,O atendimento poderia ser melhor.
Cliente_002,Fibra Óptica,Péssimo suporte ao cliente.
Cliente_029,Streaming,"É um serviço ok, cumpre o que promete."
Cliente_180,Nuvem,Estou gostando bastante do serviço.
Cliente_027,Internet,Péssimo suporte ao cliente.
Cliente_050,Nuvem,Estou muito insatisfeito com o serviço.
Cliente_095,Fibra Óptica,Nota 10! Melhor experiência que já tive.
Cliente_151,Fibra Óptica,Atendimento demorado e ineficiente.
Cliente_088,TV,Estou muito insatisfeito com o serviço.
Cliente_044,TV,"Nada a reclamar, tudo dentro do esperado."
Cliente_022,TV,O app poderia ser mais rápido.
Cliente_171,TV,Funcionou perfeitamente durante a viagem.
Cliente_165,Telefone,Funcionou perfeitamente durante a viagem.
Cliente_189,TV,"Serviço razoável, mas melhorou ultimamente."
Cliente_097,Telefone,Nunca consigo falar com o suporte.
Cliente_184,Telefone,Nunca consigo falar com o suporte.
Cliente_003,Streaming,Funcionou perfeitamente durante a viagem.
Cliente_191,Telefone,Nunca consigo falar com o suporte.
Cliente_118,Telefone,"Fui muito bem atendido, recomendo!"
Cliente_019,TV,Ainda estou avaliando o serviço.
Cliente_023,Telefone,Não resolve meu problema nunca.
Cliente_157,Nuvem,O atendimento poderia ser melhor.
Cliente_030,TV,"Cobrança correta, sem surpresas."
Cliente_039,Internet,"O sinal cai toda hora, não gosto."
Cliente_108,TV,O app poderia ser mais rápido.
Cliente_111,Telefone,Nota 10! Melhor experiência que já tive.
Cliente_025,Nuvem,Péssimo suporte ao cliente.
Cliente_128,TV,"O sinal cai toda hora, não gosto."
Cliente_111,Nuvem,Atendimento cordial e sem enrolação.
Cliente_136,Internet,Péssimo! Nunca mais contrato.
Cliente_106,Fibra Óptica,"É um serviço ok, cumpre o que promete."
Cliente_186,Internet,Ainda estou avaliando o serviço.
Cliente_144,Fibra Óptica,O atendimento poderia ser melhor.
Cliente_072,Streaming,"Quero cancelar, só dor de cabeça."
Cliente_129,Fibra Óptica,O atendimento poderia ser melhor.
Cliente_108,Streaming,Estou gostando bastante do serviço.
Cliente_005,TV,"Fui muito bem atendido, recomendo!"
Cliente_003,Streaming,Nunca consigo falar com o suporte.
Cliente_193,Nuvem,Péssimo suporte ao cliente.
Cliente_132,Streaming,Equipe super preparada e educada.
Cliente_104,Nuvem,"É um serviço ok, cumpre o que promete."
Cliente_064,Fibra Óptica,Estou gostando bastante do serviço.
Cliente_106,Fibra Óptica,O app poderia ser mais rápido.
Cliente_098,Fibra Óptica,Funciona na maior parte do tempo.
Cliente_010,Streaming,"Experiência comum, igual a outras empresas."
Cliente_149,Fibra Óptica,O atendimento poderia ser melhor.
Cliente_128,Streaming,"Cobrança correta, sem surpresas."
Cliente_046,Streaming,Péssimo! Nunca mais contrato.
Cliente_155,Telefone,"Muito lento, sempre com problemas."
Cliente_066,Telefone,O atendimento poderia ser melhor.
Cliente_169,Streaming,Estou gostando bastante do serviço.
Cliente_112,Nuvem,Atendimento demorado e ineficiente.
Cliente_013,TV,"Cobrança correta, sem surpresas."
Cliente_137,Internet,Péssimo suporte ao cliente.
Cliente_164,Telefone,"Serviço comum, nem bom nem ruim."
Cliente_086,Streaming,Atendimento rápido e eficiente.
Cliente_090,Internet,Estou gostando bastante do serviço.
Cliente_058,Telefone,Atendimento rápido e eficiente.
Cliente_054,TV,"Cobrança correta, sem surpresas."
Cliente_012,Nuvem,Funciona na maior parte do tempo.
Cliente_014,Streaming,"Cobrança correta, sem surpresas."
Cliente_121,TV,O atendimento poderia ser melhor.
Cliente_162,Telefone,Nunca consigo falar com o suporte.
Cliente_181,Streaming,"É um serviço ok, cumpre o que promete."
Cliente_121,Internet,"Cobrança correta, sem surpresas."
Cliente_020,Fibra Óptica,"Experiência comum, igual a outras empresas."
Cliente_075,Nuvem,"Quero cancelar, só dor de cabeça."
Cliente_144,Telefone,Funcionou perfeitamente durante a viagem.
Cliente_070,Nuvem,Nunca consigo falar com o suporte.
Cliente_056,Streaming,Nunca consigo falar com o suporte.
Cliente_101,Fibra Óptica,Atendimento demorado e ineficiente.
Cliente_186,TV,"Fui muito bem atendido, recomendo!"
Cliente_132,Nuvem,Funcionou perfeitamente durante a viagem.
Cliente_111,Internet,"É um serviço ok, cumpre o que promete."
Cliente_125,Telefone,O atendimento poderia ser melhor.
Cliente_132,Internet,"Nada a reclamar, tudo dentro do esperado."
Cliente_020,Nuvem,Nunca consigo falar com o suporte.
Cliente_138,Fibra Óptica,Nunca consigo falar com o suporte.
Cliente_024,TV,"É um serviço ok, cumpre o que promete."
Cliente_154,TV,Ainda estou avaliando o serviço.
Cliente_037,Internet,"Fui muito bem atendido, recomendo!"
Cliente_054,Streaming,Atendimento cordial e sem enrolação.
Cliente_103,Streaming,Atendimento cordial e sem enrolação.
Cliente_149,Fibra Óptica,"Resolveu meu problema na hora, parabéns!"
Cliente_038,TV,Atendimento demorado e ineficiente.
Cliente_174,Internet,Péssimo suporte ao cliente.
Cliente_004,Internet,"Fui muito bem atendido, recomendo!"
Cliente_188,Internet,Atendimento cordial e sem enrolação.
Cliente_057,Nuvem,Funciona na maior parte do tempo.
Cliente_173,Fibra Óptica,"Cobrança correta, sem surpresas."
Cliente_020,Streaming,Não resolve meu problema nunca.
Cliente_017,Streaming,"Serviço comum, nem bom nem ruim."
Cliente_119,Nuvem,Nota 10! Melhor experiência que já tive.
Cliente_071,Telefone,Péssimo suporte ao cliente.
Cliente_004,Nuvem,"Resolveu meu problema na hora, parabéns!"
Cliente_014,Fibra Óptica,Equipe super preparada e educada.
Cliente_003,Internet,Estou gostando bastante do serviço.
Cliente_080,Nuvem,Poderiam oferecer mais opções.
Cliente_186,Internet,Funciona na maior parte do tempo.
Cliente_055,Fibra Óptica,Não resolve meu problema nunca.
Cliente_132,Fibra Óptica,"Cobrança correta, sem surpresas."
Cliente_120,TV,"Muito lento, sempre com problemas."
Cliente_024,Internet,Não resolve meu problema nunca.
Cliente_162,Streaming,"Fui muito bem atendido, recomendo!"
Cliente_158,Nuvem,"Ótimo serviço, estou muito satisfeito."
Cliente_082,Fibra Óptica,Funciona na maior parte do tempo.
Cliente_147,Internet,Estou gostando bastante do serviço.
Cliente_159,Telefone,"Resolveu meu problema na hora, parabéns!"
Cliente_188,TV,Nunca consigo falar com o suporte.
Cliente_060,Telefone,"Fui muito bem atendido, recomendo!"
Cliente_147,Fibra Óptica,Nota 10! Melhor experiência que já tive.
Cliente_049,Telefone,Muito bom! Surpreendeu minhas expectativas.
Cliente_063,Telefone,Péssimo suporte ao cliente.
Cliente_110,TV,"Resolveu meu problema na hora, parabéns!"
Cliente_150,TV,"É um serviço ok, cumpre o que promete."
Cliente_152,TV,Nunca consigo falar com o suporte.
Cliente_109,TV,Não resolve meu problema nunca.
Cliente_076,Telefone,Muito bom! Surpreendeu minhas expectativas.
Cliente_030,Streaming,"É um serviço ok, cumpre o que promete."
Cliente_058,Streaming,Atendimento rápido e eficiente.
Cliente_117,TV,Estou gostando bastante do serviço.
Cliente_159,Nuvem,Funcionou perfeitamente durante a viagem.
Cliente_100,Internet,Ainda estou avaliando o serviço.
Cliente_192,Fibra Óptica,"Resolveu meu problema na hora, parabéns!"
Cliente_019,Nuvem,Atendimento rápido e eficiente.
Cliente_176,Fibra Óptica,Ainda estou avaliando o serviço.
Cliente_173,Nuvem,O atendimento poderia ser melhor.
Cliente_094,Nuvem,Ainda estou avaliando o serviço.
Cliente_183,Streaming,Péssimo suporte ao cliente.
Cliente_113,Internet,Atendimento cordial e sem enrolação.
Cliente_183,Nuvem,Muito bom! Surpreendeu minhas expectativas.
Cliente_146,TV,Estou gostando bastante do serviço.
Cliente_063,Fibra Óptica,Funciona na maior parte do tempo.
Cliente_116,Streaming,Atendimento cordial e sem enrolação.
Cliente_113,Fibra Óptica,"Quero cancelar, só dor de cabeça."
Cliente_047,TV,"Cobrança correta, sem surpresas."
Cliente_057,TV,"Muito lento, sempre com problemas."
Cliente_118,Nuvem,"O sinal cai toda hora, não gosto."
Cliente_045,TV,"O sinal cai toda hora, não gosto."
Cliente_161,Internet,"Serviço razoável, mas melhorou ultimamente."
Cliente_145,TV,Nunca consigo falar com o suporte.
Cliente_198,Nuvem,"Quero cancelar, só dor de cabeça."
Cliente_004,Fibra Óptica,Péssimo! Nunca mais contrato.
Cliente_148,TV,Atendimento cordial e sem enrolação.
Cliente_047,Streaming,Funciona na maior parte do tempo.
Cliente_143,Streaming,"Quero cancelar, só dor de cabeça."
Cliente_198,Streaming,"Quero cancelar, só dor de cabeça."
Cliente_047,Fibra Óptica,Atendimento demorado e ineficiente.
Cliente_078,Telefone,Estou muito insatisfeito com o serviço.
Cliente_124,Streaming,Estou gostando bastante do serviço.
Cliente_075,Streaming,Não resolve meu problema nunca.
Cliente_103,Telefone,"O sinal cai toda hora, não gosto."
Cliente_137,Fibra Óptica,Atendimento demorado e ineficiente.
Cliente_090,Streaming,"Quero cancelar, só dor de cabeça."
Cliente_144,Nuvem,Péssimo! Nunca mais contrato.
Cliente_069,Fibra Óptica,Atendimento cordial e sem enrolação.
Cliente_061,Streaming,Muito bom! Surpreendeu minhas expectativas.
Cliente_138,Streaming,Funciona na maior parte do tempo.
Cliente_050,Telefone,Muito bom! Surpreendeu minhas expectativas.
Cliente_003,Nuvem,Atendimento demorado e ineficiente.
Cliente_107,Fibra Óptica,O app poderia ser mais rápido.
Cliente_113,TV,"Fui muito bem atendido, recomendo!"
Cliente_094,Internet,Atendimento rápido e eficiente.
Cliente_118,Nuvem,Funcionou perfeitamente durante a viagem.
Cliente_198,TV,Ainda estou avaliando o serviço.
Cliente_081,Nuvem,"Cobrança correta, sem surpresas."
Cliente_109,TV,"Serviço comum, nem bom nem ruim."
Cliente_051,TV,Muito bom! Surpreendeu minhas expectativas.
Cliente_147,Nuvem,Atendimento rápido e eficiente.
Cliente_170,Telefone,Ainda estou avaliando o serviço.
Cliente_035,Nuvem,Estou muito insatisfeito com o serviço.
Cliente_046,Nuvem,Estou muito insatisfeito com o serviço.
Cliente_154,TV,"Ótimo serviço, estou muito satisfeito."
Cliente_069,Internet,Funcionou perfeitamente durante a viagem.
Cliente_093,TV,Muito bom! Surpreendeu minhas expectativas.
Cliente_064,Streaming,O atendimento poderia ser melhor.
Cliente_165,Nuvem,Funcionou perfeitamente durante a viagem.
Cliente_049,Fibra Óptica,"Resolveu meu problema na hora, parabéns!"
Cliente_149,Nuvem,"Muito lento, sempre com problemas."
Cliente_074,Telefone,Nunca consigo falar com o suporte.
Cliente_192,Fibra Óptica,Funcionou perfeitamente durante a viagem.
Cliente_005,TV,Estou gostando bastante do serviço.
Cliente_100,Telefone,Péssimo! Nunca mais contrato.
Cliente_070,Nuvem,"Fui muito bem atendido, recomendo!"
Cliente_090,TV,Poderiam oferecer mais opções.
Cliente_004,TV,Nunca consigo falar com o suporte.
Cliente_126,Streaming,Nunca consigo falar com o suporte.
Cliente_039,Streaming,"Serviço razoável, mas melhorou ultimamente."
Cliente_163,Internet,Atendimento demorado e ineficiente.
Cliente_129,Streaming,Estou muito insatisfeito com o serviço.
Cliente_024,Fibra Óptica,"Ótimo serviço, estou muito satisfeito."
Cliente_057,TV,Muito bom! Surpreendeu minhas expectativas.
Cliente_100,Streaming,Péssimo suporte ao cliente.
Cliente_070,Internet,"Serviço razoável, mas melhorou ultimamente."
Cliente_041,Nuvem,"Ótimo serviço, estou muito satisfeito."
Cliente_182,Fibra Óptica,O atendimento poderia ser melhor.
Cliente_174,Streaming,Muito bom! Surpreendeu minhas expectativas.
Cliente_060,TV,"O sinal cai toda hora, não gosto."
Cliente_108,Nuvem,"Muito lento, sempre com problemas."
Cliente_188,TV,"O sinal cai toda hora, não gosto."
Cliente_057,Nuvem,"Fui muito bem atendido, recomendo!"
Cliente_031,Fibra Óptica,Muito bom! Surpreendeu minhas expectativas.
Cliente_084,TV,Nota 10! Melhor experiência que já tive.
Cliente_152,Streaming,Péssimo suporte ao cliente.
Cliente_036,Streaming,Nunca consigo falar com o suporte.
Cliente_158,Internet,Péssimo suporte ao cliente.
Cliente_152,Nuvem,Muito bom! Surpreendeu minhas expectativas.
Cliente_108,Internet,Estou muito insatisfeito com o serviço.
Cliente_106,Telefone,"Ótimo serviço, estou muito satisfeito."
Cliente_158,Streaming,Ainda estou avaliando o serviço.
Cliente_086,Nuvem,Estou gostando bastante do serviço.
Cliente_135,Fibra Óptica,Funcionou perfeitamente durante a viagem.
Cliente_163,Internet,"Quero cancelar, só dor de cabeça."
Cliente_183,Fibra Óptica,"Experiência comum, igual a outras empresas."
Cliente_014,Fibra Óptica,Muito bom! Surpreendeu minhas expectativas.
Cliente_120,Fibra Óptica,Atendimento rápido e eficiente.
Cliente_138,Internet,Muito bom! Surpreendeu minhas expectativas.
Cliente_080,Telefone,Atendimento cordial e sem enrolação.
Cliente_144,Internet,Funciona na maior parte do tempo.
Cliente_182,TV,Funciona na maior parte do tempo.
Cliente_106,Streaming,Estou muito insatisfeito com o serviço.
Cliente_070,Internet,Funcionou perfeitamente durante a viagem.
Cliente_044,Internet,Atendimento demorado e ineficiente.
Cliente_073,Telefone,Estou muito insatisfeito com o serviço.
Cliente_045,TV,"O sinal cai toda hora, não gosto."
Cliente_184,Internet,"Serviço razoável, mas melhorou ultimamente."
Cliente_107,Streaming,"Nada a reclamar, tudo dentro do esperado."
Cliente_084,Streaming,Estou gostando bastante do serviço.
Cliente_082,Internet,Nunca consigo falar com o suporte.
Cliente_107,Fibra Óptica,"Quero cancelar, só dor de cabeça."
Cliente_185,Fibra Óptica,"Nada a reclamar, tudo dentro do esperado."
Cliente_021,TV,Atendimento cordial e sem enrolação.
Cliente_196,Streaming,Atendimento demorado e ineficiente.
Cliente_178,Fibra Óptica,Atendimento demorado e ineficiente.
Cliente_161,Streaming,Equipe super preparada e educada.
Cliente_007,TV,"Quero cancelar, só dor de cabeça."
Cliente_070,TV,O atendimento poderia ser melhor.
Cliente_127,Fibra Óptica,"O sinal cai toda hora, não gosto."
Cliente_143,Internet,"Nada a reclamar, tudo dentro do esperado."
Cliente_160,Nuvem,Nota 10! Melhor experiência que já tive.
Cliente_148,Telefone,Nota 10! Melhor experiência que já tive.
Cliente_143,Nuvem,"Cobrança correta, sem surpresas."
Cliente_176,Nuvem,"É um serviço ok, cumpre o que promete."
Cliente_199,Streaming,Estou muito insatisfeito com o serviço.
Cliente_149,TV,"Ótimo serviço, estou muito satisfeito."
Cliente_170,Streaming,O app poderia ser mais rápido.
Cliente_154,Fibra Óptica,Atendimento cordial e sem enrolação.
Cliente_120,Telefone,Atendimento demorado e ineficiente.
Cliente_128,Fibra Óptica,"Quero cancelar, só dor de cabeça."
Cliente_142,Internet,"Ótimo serviço, estou muito satisfeito."
Cliente_057,Telefone,"Resolveu meu problema na hora, parabéns!"
Cliente_165,Streaming,"Ótimo serviço, estou muito satisfeito."
Cliente_058,Streaming,Não resolve meu problema nunca.
Cliente_021,Fibra Óptica,"Resolveu meu problema na hora, parabéns!"
Cliente_082,Streaming,Equipe super preparada e educada.
Cliente_069,Streaming,O atendimento poderia ser melhor.
Cliente_131,Nuvem,Atendimento rápido e eficiente.
Cliente_087,Internet,"Fui muito bem atendido, recomendo!"
Cliente_165,Nuvem,"Quero cancelar, só dor de cabeça."
Cliente_049,Streaming,Péssimo! Nunca mais contrato.
Cliente_147,TV,Muito bom! Surpreendeu minhas expectativas.
Cliente_115,Nuvem,Atendimento rápido e eficiente.
Cliente_089,Streaming,"Ótimo serviço, estou muito satisfeito."
Cliente_085,Streaming,"Ótimo serviço, estou muito satisfeito."
Cliente_128,Internet,"Serviço comum, nem bom nem ruim."
Cliente_140,Fibra Óptica,Atendimento demorado e ineficiente.
Cliente_189,Telefone,"Serviço razoável, mas melhorou ultimamente."
Cliente_169,Nuvem,Péssimo! Nunca mais contrato.
Cliente_161,Nuvem,"Muito lento, sempre com problemas."
Cliente_178,Nuvem,Estou muito insatisfeito com o serviço.
Cliente_117,Streaming,"Experiência comum, igual a outras empresas."
Cliente_196,Internet,Péssimo! Nunca mais contrato.
Cliente_127,Streaming,Atendimento cordial e sem enrolação.
Cliente_071,Streaming,Atendimento demorado e ineficiente.
Cliente_086,Fibra Óptica,Poderiam oferecer mais opções.
Cliente_033,TV,"Muito lento, sempre com problemas."
Cliente_081,Internet,"Serviço razoável, mas melhorou ultimamente."
Cliente_152,Nuvem,Estou muito insatisfeito com o serviço.
Cliente_061,Telefone,"Ótimo serviço, estou muito satisfeito."
Cliente_061,Nuvem,Equipe super preparada e educada.
Cliente_098,Streaming,Estou muito insatisfeito com o serviço.
Cliente_028,Internet,"É um serviço ok, cumpre o que promete."
Cliente_186,Internet,"Fui muito bem atendido, recomendo!"
Cliente_043,Internet,Nota 10! Melhor experiência que já tive.
Cliente_169,TV,Equipe super preparada e educada.
Cliente_167,Nuvem,O atendimento poderia ser melhor.
Cliente_086,TV,"Serviço razoável, mas melhorou ultimamente."
Cliente_177,Fibra Óptica,O atendimento poderia ser melhor.
Cliente_017,Telefone,"Fui muito bem atendido, recomendo!"
Cliente_098,Fibra Óptica,"Serviço comum, nem bom nem ruim."
Cliente_198,Streaming,Atendimento rápido e eficiente.
Cliente_198,TV,Funcionou perfeitamente durante a viagem.
Cliente_098,TV,Poderiam oferecer mais opções.
Cliente_065,Fibra Óptica,Péssimo! Nunca mais contrato.
Cliente_074,Streaming,Péssimo suporte ao cliente.
Cliente_085,Internet,"Ótimo serviço, estou muito satisfeito."
Cliente_005,Streaming,Funciona na maior parte do tempo.
Cliente_002,Nuvem,"Quero cancelar, só dor de cabeça."
Cliente_022,Fibra Óptica,Ainda estou avaliando o serviço.
Cliente_112,Streaming,Estou muito insatisfeito com o serviço.
Cliente_057,Internet,Atendimento rápido e eficiente.
Cliente_066,Streaming,O app poderia ser mais rápido.
Cliente_074,TV,Funciona na maior parte do tempo.
Cliente_098,Telefone,"É um serviço ok, cumpre o que promete."
Cliente_144,TV,"Fui muito bem atendido, recomendo!"
Cliente_112,Telefone,Poderiam oferecer mais opções.
Cliente_179,Streaming,Nota 10! Melhor experiência que já tive.
Cliente_125,Nuvem,Equipe super preparada e educada.
Cliente_167,Streaming,O app poderia ser mais rápido.
Cliente_086,Internet,"Ótimo serviço, estou muito satisfeito."
Cliente_076,Streaming,Péssimo! Nunca mais contrato.
Cliente_088,Telefone,"Resolveu meu problema na hora, parabéns!"
Cliente_168,TV,"Quero cancelar, só dor de cabeça."
Cliente_038,Nuvem,Muito bom! Surpreendeu minhas expectativas.
Cliente_188,Streaming,Nota 10! Melhor experiência que já tive.
Cliente_059,Streaming,"Muito lento, sempre com problemas."
Cliente_138,TV,"O sinal cai toda hora, não gosto."
Cliente_099,Nuvem,Funcionou perfeitamente durante a viagem.
Cliente_192,Fibra Óptica,"Quero cancelar, só dor de cabeça."
Cliente_063,Streaming,Atendimento demorado e ineficiente.
Cliente_049,Streaming,Funcionou perfeitamente durante a viagem.
Cliente_192,Fibra Óptica,"É um serviço ok, cumpre o que promete."
Cliente_032,Telefone,Não resolve meu problema nunca.
Cliente_135,Telefone,Equipe super preparada e educada.
Cliente_021,Internet,Estou muito insatisfeito com o serviço.
Cliente_020,TV,Péssimo suporte ao cliente.
Cliente_154,Nuvem,"Quero cancelar, só dor de cabeça."
Cliente_127,Streaming,Péssimo! Nunca mais contrato.
Cliente_068,Streaming,O atendimento poderia ser melhor.
Cliente_110,Internet,"Muito lento, sempre com problemas."
Cliente_116,Streaming,Não resolve meu problema nunca.
Cliente_143,TV,Estou gostando bastante do serviço.
Cliente_120,Internet,Estou muito insatisfeito com o serviço.
Cliente_079,TV,Equipe super preparada e educada.
Cliente_116,Internet,Péssimo suporte ao cliente.
Cliente_092,Streaming,Estou muito insatisfeito com o serviço.
Cliente_014,Internet,"Serviço razoável, mas melhorou ultimamente."
Cliente_155,Telefone,"É um serviço ok, cumpre o que promete."
Cliente_125,Nuvem,Nunca consigo falar com o suporte.
Cliente_168,Streaming,"Experiência comum, igual a outras empresas."
Cliente_058,Fibra Óptica,Poderiam oferecer mais opções.
Cliente_028,Nuvem,"O sinal cai toda hora, não gosto."
Cliente_026,Streaming,Estou gostando bastante do serviço.
Cliente_113,Nuvem,Poderiam oferecer mais opções.
Cliente_191,Telefone,Muito bom! Surpreendeu minhas expectativas.
Cliente_066,Nuvem,"O sinal cai toda hora, não gosto."
Cliente_153,Internet,Atendimento cordial e sem enrolação.
Cliente_131,Nuvem,Funciona na maior parte do tempo.
Cliente_200,Streaming,Estou gostando bastante do serviço.
Cliente_044,Fibra Óptica,O app poderia ser mais rápido.
Cliente_097,Fibra Óptica,"O sinal cai toda hora, não gosto."
Cliente_042,TV,"Serviço razoável, mas melhorou ultimamente."
Cliente_006,Nuvem,"Ótimo serviço, estou muito satisfeito."
Cliente_167,Fibra Óptica,Péssimo! Nunca mais contrato.
Cliente_180,Nuvem,"Nada a reclamar, tudo dentro do esperado."
Cliente_023,Fibra Óptica,Ainda estou avaliando o serviço.
Cliente_089,Nuvem,"Experiência comum, igual a outras empresas."
Cliente_123,Streaming,"Muito lento, sempre com problemas."
Cliente_178,Nuvem,Funcionou perfeitamente durante a viagem.
Cliente_171,Streaming,Atendimento rápido e eficiente.
Cliente_147,Streaming,Atendimento rápido e eficiente.
Cliente_197,TV,Estou gostando bastante do serviço.
Cliente_051,Fibra Óptica,"Fui muito bem atendido, recomendo!"
Cliente_011,Internet,"Ótimo serviço, estou muito satisfeito."
Cliente_012,Streaming,O atendimento poderia ser melhor.
Cliente_074,Fibra Óptica,Funciona na maior parte do tempo.
Cliente_008,Telefone,Funcionou perfeitamente durante a viagem.
Cliente_152,Nuvem,Muito bom! Surpreendeu minhas expectativas.
Cliente_041,Telefone,Estou muito insatisfeito com o serviço.
Cliente_164,Nuvem,Atendimento cordial e sem enrolação.
Cliente_085,TV,Estou gostando bastante do serviço.
Cliente_072,Streaming,"É um serviço ok, cumpre o que promete."
Cliente_055,Internet,Atendimento rápido e eficiente.
Cliente_137,Streaming,Poderiam oferecer mais opções.
Cliente_047,Nuvem,"Fui muito bem atendido, recomendo!"
Cliente_143,Internet,Estou muito insatisfeito com o serviço.
Cliente_176,Streaming,Péssimo! Nunca mais contrato.
Cliente_104,Internet,Ainda estou avaliando o serviço.
Cliente_042,Nuvem,Péssimo suporte ao cliente.
Cliente_060,TV,Atendimento demorado e ineficiente.
Cliente_198,TV,Não resolve meu problema nunca.
Cliente_012,Streaming,Atendimento rápido e eficiente.
Cliente_130,Telefone,Poderiam oferecer mais opções.
Cliente_007,Nuvem,Péssimo suporte ao cliente.
Cliente_080,Streaming,"Fui muito bem atendido, recomendo!"
Cliente_131,Streaming,"Quero cancelar, só dor de cabeça."
Cliente_109,TV,Muito bom! Surpreendeu minhas expectativas.
Cliente_003,Internet,Nunca consigo falar com o suporte.
Cliente_027,Nuvem,"Nada a reclamar, tudo dentro do esperado."
Cliente_114,Internet,Atendimento demorado e ineficiente.
Cliente_107,Fibra Óptica,Funcionou perfeitamente durante a viagem.
Cliente_040,Fibra Óptica,"Fui muito bem atendido, recomendo!"
Cliente_161,Nuvem,Atendimento rápido e eficiente.
Cliente_129,Telefone,Muito bom! Surpreendeu minhas expectativas.
Cliente_008,Fibra Óptica,"Quero cancelar, só dor de cabeça."
Cliente_101,TV,"Nada a reclamar, tudo dentro do esperado."
Cliente_160,Telefone,Péssimo! Nunca mais contrato.
Cliente_124,Streaming,Equipe super preparada e educada.
Cliente_176,Fibra Óptica,O app poderia ser mais rápido.
Cliente_107,TV,O atendimento poderia ser melhor.
Cliente_101,Streaming,Atendimento rápido e eficiente.
Cliente_004,Telefone,Funcionou perfeitamente durante a viagem.
Cliente_198,Nuvem,"Experiência comum, igual a outras empresas."
Cliente_110,Streaming,Nunca consigo falar com o suporte.
Cliente_019,Internet,Péssimo! Nunca mais contrato.
Cliente_032,Nuvem,Estou gostando bastante do serviço.
Cliente_137,Nuvem,Atendimento rápido e eficiente.
Cliente_012,Telefone,"Fui muito bem atendido, recomendo!"
Cliente_139,Telefone,Ainda estou avaliando o serviço.
Cliente_046,TV,"Quero cancelar, só dor de cabeça."
Cliente_119,TV,Não resolve meu problema nunca.
Cliente_016,Internet,"Nada a reclamar, tudo dentro do esperado."
Cliente_129,Nuvem,Atendimento rápido e eficiente.
Cliente_063,Internet,Ainda estou avaliando o serviço.
Cliente_109,Internet,"Ótimo serviço, estou muito satisfeito."
Cliente_119,Telefone,"Resolveu meu problema na hora, parabéns!"
Cliente_021,Internet,Ainda estou avaliando o serviço.
Cliente_158,Internet,Péssimo suporte ao cliente.
Cliente_013,Streaming,"É um serviço ok, cumpre o que promete."
Cliente_162,TV,Péssimo suporte ao cliente.
Cliente_004,TV,"Cobrança correta, sem surpresas."
Cliente_156,Nuvem,Equipe super preparada e educada.
Cliente_102,TV,Atendimento rápido e eficiente.
Cliente_059,Fibra Óptica,"Resolveu meu problema na hora, parabéns!"
Cliente_128,Nuvem,"Ótimo serviço, estou muito satisfeito."
Cliente_027,Streaming,Funciona na maior parte do tempo.
Cliente_069,TV,Funcionou perfeitamente durante a viagem.
Cliente_025,Streaming,"O sinal cai toda hora, não gosto."
Cliente_131,TV,Muito bom! Surpreendeu minhas expectativas.
Cliente_097,TV,"Nada a reclamar, tudo dentro do esperado."
Cliente_196,Streaming,Péssimo suporte ao cliente.
Cliente_025,Internet,Atendimento rápido e eficiente.
Cliente_148,Internet,Atendimento cordial e sem enrolação.
